full_text,retweet_count,user_followers_count,favorite_count,place,coordinates,geo,created_at,id_str
RT @FlukeiS: เด็กโดนน้ำร้อนลวกตรงอกกับท้อง  ไม่มารพ แต่ไปหาหมอเป่า มาด้วยแผลติดเชื้อ ไม่พอหมอเป่าดันเป็น COVID อีก อหหหห สงสารเด็ก,0,8,0,,,,Mon Feb 07 09:12:00 +0000 2022,1490614308329295874
"RT @GaniMujde: Oytuncan ilk covid linci yediğinde ""Yazık yahu adama.Tamam desteksiz atmış ama tıp da henüz bu konuda yetersiz zaten"" filan…",0,124,0,,,,Mon Feb 07 09:12:00 +0000 2022,1490614308413321219
"RT @JulianMaciasT: Cristina Seguí, fundadora de VOX, colaboradora de Negre, defensora de Alvise y referente informativo de la ultraderecha,…",0,1992,0,,,,Mon Feb 07 09:12:00 +0000 2022,1490614308480462848
"@Cryptocityspot7 @MetaVisa Covid-19 has a bad impact in almost every sector. So, as a crypto projects how did it af… https://t.co/vNJOrxLHg7",0,9,0,,,,Mon Feb 07 09:12:00 +0000 2022,1490614308505485313
"RT @ufukcoskunn: Ey, bilim kurulu, siyasetçiler ve diplomalılar! Sosyal mesafe dediniz olmadı, maske taktırdınız işe yaramadı, aşılarınız t…",0,703,0,,,,Mon Feb 07 09:12:00 +0000 2022,1490614308916633604
"COVID test available day after tomorrow at CVS (1795 Hooper Avenue, Dover Township, NJ 08753) at 11:15AM 11:30AM 11… https://t.co/USiBb7mc1J",0,10,0,,,,Mon Feb 07 09:12:00 +0000 2022,1490614309969440770
"Fucking media. 

'it was devastated by lockdowns'

There - fixed it for you.",0,313,0,,,,Mon Feb 07 09:12:00 +0000 2022,1490614310208520196
me encuentro muy mal pero no es covid,0,82,0,,,,Mon Feb 07 09:12:00 +0000 2022,1490614310376202244
"RT @revistaoeste: “O que começou como um protesto local de caminhoneiros no Canadá, ignorado pela mídia, agora se transformou em uma manife…",0,427,0,,,,Mon Feb 07 09:12:00 +0000 2022,1490614310640529409
@gigicat7_ Djokovic is his own worst enemy - he maybe a great tennis star but does not know how to behave in this w… https://t.co/70axcNDfQK,0,11,0,,,,Mon Feb 07 09:12:00 +0000 2022,1490614310858420224
"RT @gkierzek: Perpignan : un ""hôpital de campagne"" déployé à l'hôpital pour désengorger des urgences saturées - et ce n’est pas le Covid ht…",0,1308,0,,,,Mon Feb 07 09:12:00 +0000 2022,1490614311068254216
RT @manuelrico: Hoy hace 691 días que el Gobierno Ayuso aprobó el Protocolo que impedía trasladar al hospital a los residentes más vulnerab…,0,52,0,,,,Mon Feb 07 09:12:00 +0000 2022,1490614311575818244
Im Interview mit https://t.co/vkPSsvIVOk forderte OÖ-Landeshauptmann Stelzer das Aus für Gratis-Tests. Das Gesundhe… https://t.co/Ebo1ULkyyN,0,17,0,,,,Mon Feb 07 09:12:00 +0000 2022,1490614311571574785
